zc..,alpha_c..,beita_c..,zb1..,alpha_b1..,zb2..,alpha_b2..,F1,F2,F3,F4,zc,zc.,zb1,zb1.,zb2,zb2.
-1.425716996,0.326778889,-0.03813656,1.290017128,-0.311527133,-0.058754958,-0.191056818,-7292.002441,-5097.742676,-7004.891113,-7661.3125,5.03164196,-0.076638989,2.036897659,-0.204848856,2.012417793,-0.059452713
-1.337299585,0.201948449,-0.121030569,1.549233198,-0.387699336,-0.029001668,-0.288113654,-6132.433105,-4329.558594,-6815.092285,-7669.040039,5.030805588,-0.090480223,2.03491807,-0.190656185,2.011820555,-0.059938759
-1.213658214,0.068088949,-0.192334563,1.859857917,-0.450617313,0.060968488,-0.379390568,-4807.196289,-3415.944824,-6350.841797,-7424.542969,5.029836178,-0.103263117,2.033094168,-0.173670083,2.01122117,-0.059817784
-1.039574265,-0.171069801,-0.262638271,3.403035641,-0.039276078,0.415337145,-0.377609938,-2313.221924,-1697.000244,-5424.393555,-6812.414063,5.028745174,-0.114598297,2.031461954,-0.150465533,2.010629177,-0.058058459
-0.755406499,-0.308913261,-0.371635944,4.625130177,-0.391341418,0.636932552,-0.505348027,537.9849854,688.9840088,-4249.611816,-5858.471191,5.027552128,-0.123634882,2.030158997,-0.108244285,2.010075569,-0.052299518
-0.447343886,-0.420948982,-0.456933618,3.662721157,-0.282441735,0.374348313,-0.537173867,2047.145386,1861.282837,-3150.869141,-4950.458984,5.026283264,-0.129628748,2.029296875,-0.065685429,2.009581089,-0.047042254
-0.188776627,-0.510414064,-0.475777864,2.067379951,-0.170568243,0.086744346,-0.559786022,2604.302979,2168.720947,-2025.458374,-3997.081543,5.024969578,-0.132761002,2.028795242,-0.037132196,2.009123564,-0.044875119
0.014430705,-0.575536668,-0.434372008,1.023281813,-0.052856691,0.053882007,-0.571282566,2899.685547,2310.464355,-766.4587402,-2891.323486,5.023635864,-0.133599803,2.028506041,-0.022316363,2.008677483,-0.044385135
0.191090256,-0.615423918,-0.362770498,0.750980735,0.06660305,0.217470914,-0.57139957,3333.506104,2692.061279,600.8321533,-1659.675293,5.022304058,-0.132563442,2.02832675,-0.013923425,2.008238792,-0.043100674
0.363792509,-0.630122244,-0.28780666,0.837596774,0.183727577,0.368094802,-0.559885383,3890.362793,3300.118896,1946.799561,-433.9902344,5.020990849,-0.129789084,2.028226137,-0.006051672,2.007821798,-0.040090933
0.532443821,-0.620535374,-0.220886037,0.825188696,0.294420272,0.374766797,-0.536501288,4350.924805,3913.982666,3144.900879,656.2434082,5.019713879,-0.125300035,2.028208256,0.002451431,2.00744009,-0.03625517
0.68178755,-0.575395763,-0.16017957,0.461641937,3.034282684,0.266859591,-1.778870702,4373.034668,4410.857422,4201.519531,1504.849243,5.018490314,-0.119206548,2.028270006,0.009385687,2.007094383,-0.033022676
0.78460604,-0.494746268,-0.083983272,-0.499330193,0.387035429,0.191075265,-0.406560421,3722.405518,4271.983398,5107.656738,2215.831543,5.017334461,-0.111832015,2.028367758,0.008681659,2.006776571,-0.030694075
0.842005551,-0.431340545,-0.0022743,-0.794569731,0.343674093,0.092806675,-0.29400146,3260.859131,4238.52002,5760.020508,2748.397949,5.016256332,-0.103672408,2.028422117,0.001757781,2.006477356,-0.029270533
0.87294209,-0.359180659,0.060608834,-0.696694434,0.295355648,-0.013113456,-0.177564606,2982.460205,4385.643555,6174.399414,3077.779297,5.015262604,-0.095082246,2.028400898,-0.005837396,2.006187439,-0.028861972
0.884894073,-0.280893326,0.098475046,-0.593792915,0.238468602,-0.13655597,-0.05702268,2721.616211,4549.95166,6357.505371,3205.122803,5.014355659,-0.086278133,2.028310061,-0.012182108,2.005896091,-0.029595863
0.874159992,-0.199029729,0.118509792,-0.68056798,0.175426334,-0.270696223,0.064815402,2321.136719,4560.027344,6325.84375,3149.155273,5.01353693,-0.07746277,2.028157711,-0.018396091,2.005591154,-0.031632297
0.834370673,-0.115969293,0.130997404,-0.924291313,0.108567163,-0.391097397,0.185210526,1730.498657,4352.13623,6106.858887,2939.306396,5.012805462,-0.06889616,2.027935982,-0.026347393,2.005259037,-0.034961443
0.763288856,-0.033881024,0.142248183,-1.194728017,0.040244237,-0.478827059,0.301433891,993.6751709,3958.398682,5727.76709,2604.412598,5.012156963,-0.06088442,2.027621508,-0.036970049,2.004888296,-0.039338693
0.663945913,0.045303874,0.153312713,-1.394024968,-0.027178427,-0.534458578,0.410767466,183.818222,3441.715576,5207.383301,2164.427979,5.011584759,-0.053728621,2.027188301,-0.049986463,2.004469872,-0.04442529
0.524441957,0.115566835,0.161402538,-1.994492173,-0.052216858,-1.121467113,0.47528553,-947.9837036,2391.650146,4068.731445,1279.614868,5.011078358,-0.047735285,2.026610136,-0.06668786,2.003991127,-0.052373193
0.338785201,0.184664145,0.16439493,-2.030089855,-0.073167339,-1.143277049,0.530140221,-1969.924561,1496.645752,3047.714844,453.5962219,5.010624409,-0.043405358,2.025840044,-0.087363683,2.003407955,-0.064280391
0.158783913,0.247168273,0.164792702,-1.594232321,-0.079418883,-0.658737123,0.563741982,-2669.342773,911.5814819,2347.718018,-65.92375183,5.010203838,-0.040936328,2.024871588,-0.10564141,2.002715349,-0.073466085
0.008604001,0.302097857,0.164450169,-1.173328161,-0.083102159,-0.178981736,0.586621046,-3203.921143,443.8047485,1782.168457,-439.228302,5.009799957,-0.040123038,2.023743629,-0.119331963,2.00195694,-0.07750342
-0.117123283,0.348656774,0.163809672,-0.993206859,-0.084266596,0.042816166,0.598250926,-3734.218018,-67.33401489,1180.07666,-840.951355,5.009396553,-0.040678672,2.022495508,-0.129975483,2.001177788,-0.077974394
-0.232387334,0.386233479,0.16236259,-0.98609364,-0.083393231,0.060929731,0.598486602,-4286.725098,-647.7058716,504.5934448,-1311.449829,5.008982182,-0.042430241,2.021146774,-0.139806151,2.00040102,-0.077365056
-0.343164891,0.41438207,0.15938808,-0.979470253,-0.080964774,0.048523147,0.5871889,-4786.564453,-1220.997192,-172.8793335,-1782.861694,5.008543968,-0.045312084,2.019699097,-0.14969036,1.999629974,-0.076853491
